latitude,longitude,elevation,segment dist,total distance
37.794860,-122.275580,4.000,0,0,0
37.795570,-122.275140,9.000,0.0546,0.05,57
37.795280,-122.274380,8.000,0.0461,0.10,0
37.795795,-122.273520,6.000,0.0589,0.15,0
37.796480,-122.273090,3.000,0.0528,0.21,57
37.797140,-122.272690,5.000,0.0506,0.26,57
37.798470,-122.271870,2.000,0.1023,0.36,57
37.798560,-122.271810,4.000,0.0070,0.37,57
37.798270,-122.271065,6.000,0.0453,0.41,0
37.797632,-122.269436,11.000,0.0993,0.51,0
37.797284,-122.268552,22.000,0.0539,0.57,0
37.796936,-122.267668,40.000,0.0539,0.62,0
37.796240,-122.265900,58.000,0.1079,0.73,0
37.796885,-122.265500,70.000,0.0496,0.78,57
37.797530,-122.265100,90.000,0.0496,0.83,57
37.798942,-122.264220,101.000,0.1088,0.94,57
37.799648,-122.263780,113.000,0.0544,0.99,57
37.800354,-122.263340,114.000,0.0544,1.05,57
37.800970,-122.262810,123.000,0.0515,1.10,0
37.800820,-122.262520,133.000,0.0189,1.12,0
37.800760,-122.262470,144.000,0.0049,1.12,0
37.800540,-122.262290,160.000,0.0181,1.14,0
37.800280,-122.262200,169.000,0.0186,1.16,286
37.799720,-122.262090,171.000,0.0391,1.20,286
37.798990,-122.261910,176.000,0.0514,1.25,286
37.798800,-122.261750,184.000,0.0157,1.26,0
37.798630,-122.261600,192.000,0.0143,1.28,0
37.798270,-122.260990,198.000,0.0416,1.32,0
37.798170,-122.260570,181.000,0.0239,1.34,0
37.798115,-122.259570,202.000,0.0547,1.40,0
37.798110,-122.258140,206.000,0.0781,1.48,0
37.798260,-122.257710,232.000,0.0256,1.50,0
37.798490,-122.257320,268.000,0.0265,1.53,0
37.799245,-122.256400,305.000,0.0724,1.60,0
37.799810,-122.255610,334.000,0.0582,1.66,0
37.799890,-122.255480,344.000,0.0090,1.67,0
37.800200,-122.254730,325.000,0.0462,1.72,0
37.800350,-122.254570,305.000,0.0135,1.73,0
37.800540,-122.254410,290.000,0.0157,1.74,0
37.800230,-122.253610,267.000,0.0486,1.79,0
37.800010,-122.252970,255.000,0.0381,1.83,0
37.799680,-122.252030,240.000,0.0562,1.89,0
37.799140,-122.251090,226.000,0.0635,1.95,0
37.799110,-122.250990,215.000,0.0058,1.96,0
37.799260,-122.250810,200.000,0.0142,1.97,0
37.799790,-122.250070,187.000,0.0545,2.03,0
37.799960,-122.249790,179.000,0.0192,2.05,0
37.800100,-122.249490,171.000,0.0190,2.06,0
37.800290,-122.248950,162.000,0.0323,2.10,0
37.800450,-122.248210,157.000,0.0419,2.14,0
37.800460,-122.248210,157.000,0,2.14,57
