lon,lat,alt,hdg,ias,roll,pitch,slip
-112.1370417556,35.9617116430,6622,220,0,0.138860,2.989769,0.000000
-112.1370417542,35.9617116451,6622,220,1,0.140958,3.000716,49.518799
-112.1370417542,35.9617116451,6622,220,2,0.140653,3.000550,44.415611
-112.1370417539,35.9617116450,6622,220,2,0.139783,3.001035,40.204327
-112.1370417539,35.9617116450,6622,220,2,0.139706,3.001060,39.824581
-112.1370417539,35.9617116450,6622,220,2,0.139641,3.001066,39.637402
-112.1370417539,35.9617116450,6622,220,2,0.139564,3.001069,39.451984
-112.1370417539,35.9617116450,6622,220,2,0.139479,3.001068,39.268314
-112.1370417538,35.9617116450,6622,220,2,0.139391,3.001065,39.086369
-112.1370417538,35.9617116450,6622,220,2,0.139304,3.001061,38.906147
-112.1370417538,35.9617116449,6622,220,2,0.139221,3.001057,38.727592
-112.1370417538,35.9617116449,6622,220,2,0.139145,3.001054,38.550671
-112.1370417538,35.9617116449,6622,220,2,0.139077,3.001053,38.375366
-112.1370417538,35.9617116449,6622,220,2,0.139017,3.001054,38.201645
-112.1370417538,35.9617116449,6622,220,2,0.138964,3.001056,38.029465
-112.1370417538,35.9617116449,6622,220,2,0.138917,3.001061,37.858818
-112.1370417537,35.9617116449,6622,220,2,0.138874,3.001068,37.689682
-112.1370417537,35.9617116449,6622,220,2,0.138834,3.001077,37.522026
-112.1370417537,35.9617116449,6622,220,2,0.138793,3.001089,37.355843
-112.1370417537,35.9617116449,6622,220,2,0.138751,3.001104,37.191120
-112.1370417537,35.9617116449,6622,220,2,0.138704,3.001120,37.027832
-112.1370417537,35.9617116449,6622,220,2,0.138653,3.001138,36.865990
-112.1370417537,35.9617116449,6622,220,2,0.138598,3.001158,36.705566
-112.1370417537,35.9617116449,6622,220,2,0.138539,3.001179,36.546574
-112.1370417536,35.9617116449,6622,220,2,0.138477,3.001201,36.388962
-112.1370417536,35.9617116449,6622,220,2,0.138412,3.001224,36.232738
-112.1370417536,35.9617116449,6622,220,2,0.138345,3.001248,36.077885
-112.1370417536,35.9617116449,6622,220,2,0.138277,3.001273,35.924374
-112.1370417536,35.9617116448,6622,220,3,0.138208,3.001298,35.772205
-112.1370417536,35.9617116448,6622,220,3,0.138137,3.001323,35.621349
-112.1370417535,35.9617116448,6622,220,3,0.138068,3.001349,35.471825
-112.1370417535,35.9617116448,6622,220,3,0.138001,3.001374,35.323586
-112.1370417535,35.9617116448,6622,220,3,0.137937,3.001400,35.176609
-112.1370417535,35.9617116448,6622,220,3,0.137875,3.001425,35.030888
-112.1370417535,35.9617116448,6622,220,3,0.137814,3.001449,34.886406
-112.1370417535,35.9617116448,6622,220,3,0.137754,3.001474,34.743141
-112.1370417534,35.9617116448,6622,220,3,0.137693,3.001500,34.601093
-112.1370417534,35.9617116448,6622,220,3,0.137633,3.001525,34.460251
-112.1370417534,35.9617116448,6622,220,3,0.137573,3.001551,34.320576
-112.1370417534,35.9617116448,6622,220,3,0.137512,3.001575,34.182076
-112.1370417534,35.9617116448,6622,220,3,0.137449,3.001600,34.044739
-112.1370417534,35.9617116448,6622,220,3,0.137385,3.001624,33.908550
-112.1370417533,35.9617116448,6622,220,3,0.137320,3.001648,33.773495
-112.1370417533,35.9617116448,6622,220,3,0.137252,3.001673,33.639565
-112.1370417533,35.9617116448,6622,220,3,0.137182,3.001699,33.506748
-112.1370417533,35.9617116448,6622,220,3,0.137111,3.001726,33.375023
-112.1370417533,35.9617116448,6622,220,3,0.137040,3.001752,33.244404
-112.1370417532,35.9617116448,6622,220,3,0.136968,3.001779,33.114864
-112.1370417532,35.9617116448,6622,220,3,0.136898,3.001805,32.986389
-112.1370417532,35.9617116447,6622,220,3,0.136830,3.001830,32.858963
-112.1370417532,35.9617116447,6622,220,3,0.136762,3.001855,32.732567
-112.1370417532,35.9617116447,6622,220,3,0.136695,3.001879,32.607197
-112.1370417532,35.9617116447,6622,220,3,0.136627,3.001904,32.482830
